ticker,database,kappa,theta,sigma,rho,v0,moneyness
PETR4,13/07/2020,7.5701,0.2316,1.8695,-0.4560,0.2058,15.0%
PETR4,13/07/2020,10.0000,0.1761,1.8740,-0.1449,0.2058,60.0%
PETR4,20/04/2021,0.7872,0.4545,0.6677,-0.3244,0.1453,15.0%
PETR4,20/04/2021,10.0000,0.1653,1.8157,-0.0965,0.1453,60.0%
PETR4,18/04/2022,10.0000,0.1317,1.6199,-0.2829,0.1162,15.0%
PETR4,18/04/2022,10.0000,0.1200,1.5458,-0.1904,0.1162,60.0%
PETR4,01/11/2023,10.0000,0.0525,1.0200,0.5000,0.0968,15.0%
PETR4,01/11/2023,10.0000,0.0473,0.9672,0.5000,0.0968,60.0%
PETR4,30/01/2025,10.0000,0.0499,0.9944,0.1282,0.0359,15.0%
PETR4,30/01/2025,10.0000,0.0501,0.9963,0.1218,0.0359,60.0%
PETR4,10/06/2025,10.0000,0.0604,0.9523,-0.0391,0.0831,15.0%
PETR4,10/06/2025,10.0000,0.0502,0.9968,0.1819,0.0831,60.0%
VALE3,13/07/2020,2.6323,0.1520,0.8889,-0.2248,0.1198,15.0%
VALE3,13/07/2020,2.7571,0.1525,0.9116,-0.2234,0.1198,60.0%
VALE3,20/04/2021,1.5073,0.0186,0.0010,-0.0834,0.1133,15.0%
VALE3,20/04/2021,10.0000,0.0738,1.2106,0.4050,0.1133,60.0%
VALE3,18/04/2022,8.1071,0.0909,1.2097,-0.2904,0.1345,15.0%
VALE3,18/04/2022,10.0000,0.0888,1.3288,-0.0433,0.1345,60.0%
VALE3,01/11/2023,3.4891,0.0016,0.0010,-0.5626,0.0761,15.0%
VALE3,01/11/2023,10.0000,0.0347,0.8266,0.5000,0.0761,60.0%
VALE3,30/01/2025,10.0000,0.0480,0.9749,0.0249,0.0504,15.0%
VALE3,30/01/2025,10.0000,0.0452,0.9460,0.1950,0.0504,60.0%
VALE3,10/06/2025,10.0000,0.0389,0.8761,0.3170,0.0389,15.0%
VALE3,10/06/2025,10.0000,0.0346,0.8264,0.4960,0.0389,60.0%
