ticker,database,sigma,eta1,eta2,p,lambd,moneyness
PETR4,13/07/2020,0.3634,14.8446,8.6295,0.0100,3.0706,15.0%
PETR4,13/07/2020,0.3682,3.4522,4.1594,0.0570,0.8432,60.0%
PETR4,20/04/2021,0.3399,14.0765,2.5301,0.6000,1.2066,15.0%
PETR4,20/04/2021,0.3314,5.9212,2.5442,0.1794,0.7104,60.0%
PETR4,18/04/2022,0.2922,12.5012,2.9166,0.6000,0.8311,15.0%
PETR4,18/04/2022,0.2863,5.9047,4.4837,0.1755,0.7208,60.0%
PETR4,01/11/2023,0.2432,13.3844,49.9997,0.6000,3.0547,15.0%
PETR4,01/11/2023,0.2493,13.5824,30.5601,0.6000,2.2048,60.0%
PETR4,30/01/2025,0.1762,20.0591,8.2832,0.6000,1.6404,15.0%
PETR4,30/01/2025,0.2036,3.9747,23.1369,0.0543,0.3503,60.0%
PETR4,10/06/2025,0.2370,14.9630,42.1305,0.6000,1.7538,15.0%
PETR4,10/06/2025,0.2248,12.6594,30.7132,0.3767,1.8770,60.0%
VALE3,13/07/2020,0.3199,14.9774,9.9551,0.2727,1.2605,15.0%
VALE3,13/07/2020,0.3166,14.9696,9.9487,0.2933,1.4755,60.0%
VALE3,20/04/2021,0.2898,10.8848,17.1300,0.6000,1.3022,15.0%
VALE3,20/04/2021,0.2915,14.3535,50.0000,0.6000,2.4261,60.0%
VALE3,18/04/2022,0.3096,14.9865,10.0007,0.5935,0.7419,15.0%
VALE3,18/04/2022,0.3130,4.0010,15.4964,0.2682,0.1534,60.0%
VALE3,01/11/2023,0.1973,14.8171,50.0000,0.6000,1.9212,15.0%
VALE3,01/11/2023,0.2118,11.6857,50.0000,0.3294,1.6537,60.0%
VALE3,30/01/2025,0.2080,5.1270,14.7589,0.1607,0.3041,15.0%
VALE3,30/01/2025,0.2389,50.0000,33.4510,0.0122,0.0100,60.0%
VALE3,10/06/2025,0.1724,18.7021,24.2019,0.6000,2.4090,15.0%
VALE3,10/06/2025,0.2226,50.0000,36.8103,0.2970,0.0100,60.0%
