Ticker,Database,Market Kurtosis,Market Skewness,Market D’Agostino p-value,GBM Kurtosis,GBM Skewness,GBM D’Agostino p-value,Heston Kurtosis,Heston Skewness,Heston D’Agostino p-value,Kou Kurtosis,Kou Skewness,Kou D’Agostino p-value,Moneyness Divergence
PETR4,13/07/2020,21.8938,-1.9103,0.0,3.0152,0.0062,0.8871,12.2872,-2.1745,0.0,3.0397,-0.0463,0.0028,0.15
PETR4,13/07/2020,21.8938,-1.9103,0.0,3.0113,0.0026,0.7248,15.9621,-2.7694,0.0,3.3276,-0.1189,0.0,0.6
PETR4,20/04/2021,5.0506,-0.4515,0.0,2.963,-0.0055,0.3052,4.6146,-0.7143,0.0,3.1016,-0.0568,0.0,0.15
PETR4,20/04/2021,5.0506,-0.4515,0.0,3.0246,-0.0017,0.8416,4.2341,-0.5376,0.0,3.4965,-0.4337,0.0,0.6
PETR4,18/04/2022,7.7988,-1.3424,0.0,3.0207,-0.0188,0.3534,11.6063,-2.1066,0.0,3.131,-0.0224,0.0,0.15
PETR4,18/04/2022,7.7988,-1.3424,0.0,2.9937,0.0129,0.7855,4.3912,-0.6281,0.0,3.265,-0.1832,0.0,0.6
PETR4,01/11/2023,11.0427,-1.2269,0.0,2.9861,-0.0127,0.4979,7.1724,-0.0455,0.0,3.1026,-0.085,0.0,0.15
PETR4,01/11/2023,11.0427,-1.2269,0.0,3.0408,-0.0134,0.2768,3.5596,0.2729,0.0,3.5053,-0.1175,0.0,0.6
PETR4,30/01/2025,5.6363,-0.6379,0.0,2.9924,-0.007,0.8927,13.5275,-2.014,0.0,4.2402,-0.404,0.0,0.15
PETR4,30/01/2025,5.6363,-0.6379,0.0,2.9548,-0.0196,0.1246,9.878,-0.6204,0.0,3.5454,-0.1707,0.0,0.6
PETR4,10/06/2025,5.5151,-0.1403,0.0003,2.9708,0.0182,0.3222,11.5461,-1.3147,0.0,3.0802,-0.0398,0.0007,0.15
PETR4,10/06/2025,5.5151,-0.1403,0.0003,3.0028,-0.0182,0.6007,4.427,-0.3501,0.0,3.9493,-0.3683,0.0,0.6
VALE3,13/07/2020,3.1387,0.3794,0.044,3.0486,0.0052,0.3939,8.0668,-1.3766,0.0,3.0719,-0.0556,0.0,0.15
VALE3,13/07/2020,3.1387,0.3794,0.044,3.0084,0.006,0.9654,8.5208,-1.493,0.0,3.0801,-0.0796,0.0,0.6
VALE3,20/04/2021,4.5015,-0.2466,0.0015,3.0061,0.0273,0.2736,21.8472,-3.2,0.0,3.0784,-0.0433,0.0013,0.15
VALE3,20/04/2021,4.5015,-0.2466,0.0015,2.9945,-0.0191,0.6115,4.379,-0.4337,0.0,3.297,-0.0955,0.0,0.6
VALE3,18/04/2022,5.0758,0.5195,0.0,2.9858,0.0016,0.8194,15.282,-2.4701,0.0,3.1009,-0.0617,0.0,0.15
VALE3,18/04/2022,5.0758,0.5195,0.0,3.0581,-0.0147,0.1079,10.0377,-1.803,0.0,3.239,-0.0635,0.0,0.6
VALE3,01/11/2023,5.528,0.4081,0.0,2.9916,0.0125,0.5963,9.6153,-0.9471,0.0,3.1544,-0.0618,0.0,0.15
VALE3,01/11/2023,5.528,0.4081,0.0,3.0256,0.0171,0.3472,5.3832,-0.5725,0.0,3.3267,0.2464,0.0,0.6
VALE3,30/01/2025,5.5612,-0.3728,0.0,3.0048,0.0196,0.5164,7.5754,-1.108,0.0,3.2394,-0.1042,0.0,0.15
VALE3,30/01/2025,5.5612,-0.3728,0.0,2.9931,0.0031,0.972,5.5142,-0.8497,0.0,4.3362,-0.4487,0.0,0.6
VALE3,10/06/2025,4.2462,-0.2274,0.0132,3.0192,0.0096,0.7159,16.9846,-2.971,0.0,3.5658,-0.1589,0.0,0.15
VALE3,10/06/2025,4.2462,-0.2274,0.0132,3.0148,-0.0272,0.1699,8.824,-1.2899,0.0,3.5668,-0.0931,0.0,0.6
