Ticker,Database,Medida,Mercado,Black-Scholes,Heston,Kou,Moneyness Divergence
PETR4,13/07/2020,Curtose,21.8938,3.0271,4.2173,3.3006,0.15
PETR4,13/07/2020,Assimetria,-1.9103,-0.0299,-0.7127,-0.2916,0.15
PETR4,13/07/2020,D’Agostino p-value,0.0000,0.1594,0.0000,0.0000,0.15
PETR4,13/07/2020,Curtose,21.8938,3.0162,3.7548,4.1963,0.6
PETR4,13/07/2020,Assimetria,-1.9103,0.0331,-0.2903,-0.4741,0.6
PETR4,13/07/2020,D’Agostino p-value,0.0000,0.0764,0.0000,0.0000,0.6
PETR4,20/04/2021,Curtose,5.0506,3.0399,4.6329,6.4946,0.15
PETR4,20/04/2021,Assimetria,-0.4515,-0.0112,-0.7210,-1.2076,0.15
PETR4,20/04/2021,D’Agostino p-value,0.0000,0.2894,0.0000,0.0000,0.15
PETR4,20/04/2021,Curtose,5.0506,2.9680,3.6310,5.9371,0.6
PETR4,20/04/2021,Assimetria,-0.4515,0.0162,-0.2088,-1.1909,0.6
PETR4,20/04/2021,D’Agostino p-value,0.0000,0.4450,0.0000,0.0000,0.6
PETR4,18/04/2022,Curtose,7.7988,2.9776,3.7459,5.9303,0.15
PETR4,18/04/2022,Assimetria,-1.3424,-0.0120,-0.4280,-0.9850,0.15
PETR4,18/04/2022,D’Agostino p-value,0.0000,0.6723,0.0000,0.0000,0.15
PETR4,18/04/2022,Curtose,7.7988,3.0067,3.7289,4.4490,0.6
PETR4,18/04/2022,Assimetria,-1.3424,-0.0223,-0.3353,-0.5951,0.6
PETR4,18/04/2022,D’Agostino p-value,0.0000,0.2821,0.0000,0.0000,0.6
PETR4,01/11/2023,Curtose,11.0427,3.0610,3.9679,3.1999,0.15
PETR4,01/11/2023,Assimetria,-1.2269,0.0023,0.5553,0.1909,0.15
PETR4,01/11/2023,D’Agostino p-value,0.0000,0.0481,0.0000,0.0000,0.15
PETR4,01/11/2023,Curtose,11.0427,3.0138,3.9390,3.0633,0.6
PETR4,01/11/2023,Assimetria,-1.2269,0.0234,0.5727,0.0997,0.6
PETR4,01/11/2023,D’Agostino p-value,0.0000,0.3489,0.0000,0.0000,0.6
PETR4,30/01/2025,Curtose,5.6363,2.9568,3.5250,4.0136,0.15
PETR4,30/01/2025,Assimetria,-0.6379,0.0107,0.0512,-0.4511,0.15
PETR4,30/01/2025,D’Agostino p-value,0.0000,0.3655,0.0000,0.0000,0.15
PETR4,30/01/2025,Curtose,5.6363,2.9669,3.4061,3.3679,0.6
PETR4,30/01/2025,Assimetria,-0.6379,0.0036,0.1007,0.0871,0.6
PETR4,30/01/2025,D’Agostino p-value,0.0000,0.3246,0.0000,0.0000,0.6
PETR4,10/06/2025,Curtose,5.5151,2.9768,3.3237,3.0967,0.15
PETR4,10/06/2025,Assimetria,-0.1403,0.0027,-0.1190,0.1229,0.15
PETR4,10/06/2025,D’Agostino p-value,0.0003,0.7827,0.0000,0.0000,0.15
PETR4,10/06/2025,Curtose,5.5151,3.0277,3.4902,3.1543,0.6
PETR4,10/06/2025,Assimetria,-0.1403,0.0171,0.1463,0.1092,0.6
PETR4,10/06/2025,D’Agostino p-value,0.0003,0.3375,0.0000,0.0000,0.6
VALE3,13/07/2020,Curtose,3.1387,3.0643,5.0200,3.1906,0.15
VALE3,13/07/2020,Assimetria,0.3794,-0.0066,-0.6333,-0.1177,0.15
VALE3,13/07/2020,D’Agostino p-value,0.0440,0.1333,0.0000,0.0000,0.15
VALE3,13/07/2020,Curtose,3.1387,2.9816,4.7836,3.1546,0.6
VALE3,13/07/2020,Assimetria,0.3794,-0.0076,-0.5703,-0.1209,0.6
VALE3,13/07/2020,D’Agostino p-value,0.0440,0.7788,0.0000,0.0000,0.6
VALE3,20/04/2021,Curtose,4.5015,3.0317,3.1294,3.1520,0.15
VALE3,20/04/2021,Assimetria,-0.2466,0.0036,0.0141,0.1177,0.15
VALE3,20/04/2021,D’Agostino p-value,0.0015,0.6192,0.0000,0.0000,0.15
VALE3,20/04/2021,Curtose,4.5015,2.9513,3.8123,3.0759,0.6
VALE3,20/04/2021,Assimetria,-0.2466,0.0074,0.4209,0.0907,0.6
VALE3,20/04/2021,D’Agostino p-value,0.0015,0.2091,0.0000,0.0000,0.6
VALE3,18/04/2022,Curtose,5.0758,2.9837,3.9716,3.0745,0.15
VALE3,18/04/2022,Assimetria,0.5195,-0.0073,-0.4533,-0.0226,0.15
VALE3,18/04/2022,D’Agostino p-value,0.0000,0.7980,0.0000,0.0174,0.15
VALE3,18/04/2022,Curtose,5.0758,3.0054,3.5139,3.2424,0.6
VALE3,18/04/2022,Assimetria,0.5195,-0.0097,-0.1007,0.0993,0.6
VALE3,18/04/2022,D’Agostino p-value,0.0000,0.7864,0.0000,0.0000,0.6
VALE3,01/11/2023,Curtose,5.5280,3.0111,4.4763,3.1871,0.15
VALE3,01/11/2023,Assimetria,0.4081,-0.0182,-0.0967,0.1847,0.15
VALE3,01/11/2023,D’Agostino p-value,0.0000,0.3509,0.0000,0.0000,0.15
VALE3,01/11/2023,Curtose,5.5280,3.0198,3.9102,3.1722,0.6
VALE3,01/11/2023,Assimetria,0.4081,0.0073,0.5812,0.1290,0.6
VALE3,01/11/2023,D’Agostino p-value,0.0000,0.7013,0.0000,0.0000,0.6
VALE3,30/01/2025,Curtose,5.5612,2.9666,3.4832,3.8894,0.15
VALE3,30/01/2025,Assimetria,-0.3728,-0.0101,-0.0515,0.1873,0.15
VALE3,30/01/2025,D’Agostino p-value,0.0000,0.5111,0.0000,0.0000,0.15
VALE3,30/01/2025,Curtose,5.5612,3.0607,3.6731,2.9795,0.6
VALE3,30/01/2025,Assimetria,-0.3728,0.0103,0.1866,0.0069,0.6
VALE3,30/01/2025,D’Agostino p-value,0.0000,0.1309,0.0000,0.8176,0.6
VALE3,10/06/2025,Curtose,4.2462,3.0088,3.7433,3.1685,0.15
VALE3,10/06/2025,Assimetria,-0.2274,-0.0073,0.3328,0.1129,0.15
VALE3,10/06/2025,D’Agostino p-value,0.0132,0.7177,0.0000,0.0000,0.15
VALE3,10/06/2025,Curtose,4.2462,3.0701,4.0196,2.9645,0.6
VALE3,10/06/2025,Assimetria,-0.2274,0.0102,0.5648,0.0251,0.6
VALE3,10/06/2025,D’Agostino p-value,0.0132,0.0713,0.0000,0.0854,0.6
